Name,Rating,Address,Phone,Website,Maps URL
Gyanda Academy,,"
2VF8+5RH, Nepal, वीरगञ्ज 44300","
051-525656",,
Himalayan Pyramid School/College,,"
Nepal Telecom, Shreepur(Behind, वीरगञ्ज 44300","
984-5038494",,
Golden Future Secondary School,,"
वीरगञ्ज 44300","
051-531919",,
St.Xavier´s Secondary School / college,,"
2VFJ+7MX, वीरगञ्ज 44300","
051-525470",,
Trijuddha Mahavir Prasad Raghuvir Ram Secondary School,२.७,"
त्रिभुवन राजपथ, वीरगञ्ज 44300","
051-522136",,
SHUBHA TARA SECONDARY SCHOOL,,"
14 Ranighat Road, वीरगञ्ज 44300","
051-520401",,
गौतम सेकेन्ड स्कूल,४.०,"
2VV8+XV8, वीरगञ्ज 44300","
051-527789",,
GHP SCHOOL,,"
16 त्रिभुवन राजपथ, वीरगञ्ज 44400","
051-522131",http://www.ghpschool.com/,
ओम र्राष्ट्रिय एकेडेमी - स्कूल,५.०,"
वीरगञ्ज 44300","
051-523077",http://omnational.com.np/,
माउन्ट एडमनद माध्यमिक विद्यालय,,"
वीरगञ्ज 44300","
051-523081",,
"Suryodaya Secondary School,Birgunj",४.५,"
वीरगञ्ज 44300",,,
Children's World Secondary School,,"
2VGM+JVF, वीरगञ्ज 44300","
051-524593",,
Kadambari Academy +2,,"
2VHQ+52R, त्रिभुवन राजपथ, वीरगञ्ज 44300","
051-534279",http://kadambariacademy.edu.np/,
सन लाईट अंग्रेजी माध्यमिक विद्यालय,३.८,"
2V3M+JQG, 2V3M+HQV Nagwa, Birgunj-16, वीरगञ्ज 44300","
984-5057850",http://www.sunlight.edu.np/,
मुनलाईट इङ्लिस बोर्डिङ स्कुल,,"
05 Birgunj, Resham Kothi, वीरगञ्ज 44300","
051-525896",https://moonlightschool.edu.np/,
Shree Adarsh Secondary School,,"
2V5C+X43, वीरगञ्ज 44300","
051-524852",,
Gyan Vatika Secondary School,,"
14 Ranighat Road, वीरगञ्ज 44300","
051-530117",,
Alpine Secondary School,,"
2VHJ+2FQ, Shreepur Birgunj-11, 2VHJ+2FPBirgunj 44300","
051-527898",,
Gyan Jyoti Secondary School,,"
2V4G+76H Nearby Vegetable Market, वीरगञ्ज 44300","
051-521051",,
Birgunj Central School (BCS) +2,,"
Panitanki-8, वीरगञ्ज 44300","
981-2219069",https://bcs.edu.np/,
Mount Makalu English boarding school,,"
2V8C+6QR, वीरगञ्ज 44300",,,
सन लाईट अंग्रेजी माध्यमिक विद्यालय,३.८,"
2V3M+JQG, 2V3M+HQV Nagwa, Birgunj-16, वीरगञ्ज 44300","
984-5057850",http://www.sunlight.edu.np/,
Kadambari Academy +2,,"
2VHQ+52R, त्रिभुवन राजपथ, वीरगञ्ज 44300","
051-534279",http://kadambariacademy.edu.np/,
मुनलाईट इङ्लिस बोर्डिङ स्कुल,,"
05 Birgunj, Resham Kothi, वीरगञ्ज 44300","
051-525896",https://moonlightschool.edu.np/,
Bright Public School,,"
2V8G+3X6, वीरगञ्ज 44300","
985-5026252",,
Birgunj Central School (BCS) +2,४.१,"
Panitanki-8, वीरगञ्ज 44300","
981-2219069",https://bcs.edu.np/,
Crèche International School,४.९,"
2VCJ+J3V, त्रिभुवन राजपथ, वीरगञ्ज 44300","
051-533304",http://www.facebook.com/crecheschool,
Nepal Kaveri Academy,,"
वीरगञ्ज 44300","
051-527084",https://www.facebook.com/nepalkaveriacademy/,
"Modern Academy, Birgunj-25",४.५,"
वीरगञ्ज 44300","
984-5115288",,
Google Academy,,"
2VFC+6C3, वीरगञ्ज 44300","
980-4283640",,
Ideal Montessori School,,"
Shreepur 11, वीरगञ्ज 44300","
970-3200007",,
Gurukul Academy,,"
2VMV+Q34, वीरगञ्ज 44400","
051-520872",,
Shree Nrisingh Higher Secondary School,५.०,"
2VMX+5RR, Bypass Road, वीरगञ्ज 44400","
985-5038860",https://nrisinghschool.blogspot.com/,
MALINI ACADEMY,,"
Birgunj-11, वीरगञ्ज","
051-529848",,
गौतम मा. बि.,,"
वीरगञ्ज 44400","
051-527789",https://gautamschoolbrj.edu.np/,
"मासकोट एकेडेमी माध्यमिक विद्यालय, वीरगञ्ज",,"
वीरगञ्ज 44300","
051-528250",,
Birgunj Montessori School,,"
Ghariarwa Pokhari, Ashovatika ward no 10, वीरगञ्ज","
984-5268257",,
St. John's Secondary School,,"
18, बिरगंज-कलैया रोड, 44400","
985-5033528",,
City public School,,"
2V8G+863, वीरगञ्ज 44300",,,
Holy Land English Higher Secondary School,३.७,"
2V9F+VMP, Ranighat - 10, वीरगञ्ज 44300","
051-528097",,
"Siddhartha International College & School, Birgunj",,"
15 Kabi Shiromani Tole, वीरगञ्ज 44300","
051-591129",,
Galaxy Secondary School,,"
2V78+76M, Unnamed Road, वीरगञ्ज 44300","
984-5024810",,
Vidhya Sadan Secondary School,,"
Birgunj-12, वीरगञ्ज 44300","
982-1199080",,
Princeton Model Academy,,"
Rijals' Residence, बिरगंज बाइपास रोड, वीरगञ्ज 44300","
051-529603",,
Motherland Secondary School Pvt Ltd ±2,,"
2V59+2CG, वीरगञ्ज 44300","
985-5033600",,
वीरगन्ज कलेज,,"
2V9J+WGJ, वीरगञ्ज 44300","
051-534360",http://www.birgunjcollege.com/,
Kavya Academy,,"
वीरगञ्ज 44300","
051-417677",http://www.kavyaacademy.edu.np/,
"Everest Public School Ranighat, Birgunj",,"
वीरगञ्ज 44300",,,
"ओम र्राष्ट्रिय एकेडेमी, + 2 विज्ञान कलेज",,"
2VCJ+9GQ, त्रिभुवन राजपथ, वीरगञ्ज 44300","
051-523258",https://omnational.com.np/,
"Shree Ramcharan Sah Pannalal Secondary School, Adarshanagar 10 Birganj, Parsa",,"
2V7C+VQ9 Ashok vatika, वीरगञ्ज 44300",,,
LITTLE STEPS MONTESSORI SCHOOL,,"
2V79+7Q2, वीरगञ्ज 44300","
051-418322",,
SHREE SUNDARMAL RAM KUMAR KANYA SECONDARY SCHOOL,,"
2V5G+755, २ नम्बर गली, वीरगञ्ज 44300",,,
नेपाल रेल्वे माध्यमिक विद्यालय,,"
2V8H+HCW, वीरगञ्ज 44300","
051-526759",,
MES Secondary School,,"
2V49+FP2, Chhapkaiya Rd, वीरगञ्ज 44300","
984-5036584",,
Shree Suraji Devi Secondary School श्री सुरजी देवी माध्यमिक विद्यालय,५.०,"
2V9Q+W69, वीरगञ्ज 44400","
980-2986426",,
वीरगंज पब्लिक कलेज,,"
Road No-2, Panitanki-10, वीरगञ्ज 44300","
051-523485",http://bpcbirgunj.edu.np/,
